,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
ODNT,Old Dogs New Tricks,SHA-256D,TRUE,PoW/PoS,,21000000.00
CORAL,CoralPay,X13,TRUE,PoS,,21000000.00
XCI,Cannabis Industry Coin,CryptoNight,TRUE,PoW,978145,21000000.00
OPTION,OptionCoin,X11,TRUE,PoS,,21000000.00
IOP,Internet of People,SHA-256,TRUE,PoW/PoS,2526078.475,21000000.00
ZOI,Zoin,Lyra2RE,TRUE,PoW,18545757.5,21000000.00
BTCS,Bitcoin Scrypt,Scrypt,TRUE,PoW,0,21000000.00
SAND,BeachCoin,X11,TRUE,PoW,,21000000.00
BTX,Bitcore,Time Travel,TRUE,PoW,17801865.16,21000000.00
BCH,Bitcoin Cash,SHA-256,TRUE,PoW,17995589.65,21000000.00
BTG,Bitcoin Gold,Equihash,TRUE,PoW,17202361.09,21000000.00
XIOS,Xios,Scrypt,TRUE,PoW/PoS,2149688,21000000.00
KEK,KekCoin,POS 2.0,TRUE,PoS,12330806.31,21000000.00
CHIPS,CHIPS,SHA-256,TRUE,PoW,0,21000000.00
SPK,SparksPay,NeoScrypt,TRUE,PoW,7847417.334,21000000.00
MONK,Monkey Project,X11,TRUE,PoS,4407252,21000000.00
BCA,Bitcoin Atom,SHA-256,TRUE,PoW/PoS,,21000000.00
B2X,SegWit2x,X11,TRUE,PoW/PoS,,21000000.00
SCOOBY,Scooby coin,Scrypt,TRUE,PoW/PoS,,21000000.00
BTCP,Bitcoin Private,Equihash,TRUE,PoW,0,21000000.00
BTCH,Bitcoin Hush,Equihash,TRUE,PoW,0,21000000.00
PSD,Poseidon,Scrypt,TRUE,PoW,4070212.149,21000000.00
CVTC,CavatCoin,DPoS,FALSE,DPoS,,21000000.00
BITG,Bitcoin Green,Green Protocol,TRUE,PoS,9803691.362,21000000.00
RAP,Rapture,NeoScrypt,FALSE,PoW,4478901.292,21000000.00
JUMP,Jumpcoin,NIST5,TRUE,PoW,21069346.25,21000000.00
XBI,Bitcoin Incognito,XEVAN,TRUE,PoS/PoW,10904963.09,21000000.00
BTCN,BitcoiNote,CryptoNight,TRUE,PoW,,21000000.00
BTCC,Bitcoin Core,SHA-256,TRUE,PoW,,21000000.00
PLUS1,PlusOneCoin,HMQ1725,TRUE,PoW,8645406.168,21000000.00
AXE,Axe,X11,TRUE,PoW,4993030.697,21000000.00
DTEM,Dystem,Quark,TRUE,PoS,7082392.247,21000000.00
BSPM,Bitcoin Supreme,Scrypt,TRUE,PoS,,21000000.00
SPLB,SimpleBank,NeoScrypt,FALSE,PoW/PoS,2381470.978,21000000.00
LTPC,Lightpaycoin,Quark,TRUE,PoS,,21000000.00
BTV,Bitvote,CryptoNight,TRUE,PoW/PoS,,21000000.00
BSV,Bitcoin SV,SHA-256,TRUE,PoW,17992514.65,21000000.00
BBTC,BlakeBitcoin,Blake,FALSE,PoW,20595483.85,21000000.00
EXO,Exosis,Exosis,TRUE,PoW,406091.925,21000000.00
OWC,Oduwa,Scrypt,TRUE,PoW/PoS,14777549.39,21000000.00
NEOS,NeosCoin,SHA-256,TRUE,PoS,4392258.246,21000000.00
GEX,Gexan,PHI2,FALSE,PoW/PoS,2233828.13,21000000.00
ZEN,Horizen,Equihash,TRUE,PoW,7296537.5,21000000.00
OPSC,OpenSourceCoin,SHA-256,FALSE,PoW/PoS,,21000000.00
XDB,DragonSphere,X11,TRUE,PoW/PoS,,21007600.00
EVIL,EvilCoin,X11,TRUE,PoW/PoS,,21024000.00
SBTC,Super Bitcoin,SHA-256,TRUE,PoW,,21210000.00
RUST,RustCoin,Scrypt,TRUE,PoW/PoS,,21212121.00
BRDD,BeardDollars,Scrypt,TRUE,PoW/PoS,,21212121.00
IMS,Independent Money System,Scrypt,TRUE,PoW/PoS,5368934,21212121.00
BOG,Bogcoin,SHA-256,TRUE,PoW,,21212121.00
XZC,ZCoin,Lyra2Z,TRUE,PoW,7568281.25,21400000.00
JUDGE,JudgeCoin,X13,TRUE,PoW/PoS,0,21600000.00
MINE,Instamine Nuggets,Scrypt,TRUE,PoW,,21649485.00
IMPCH,Impeach,Scrypt,TRUE,PoW/PoS,308179,21933333.00
DASH,Dash,X11,TRUE,PoW/PoS,9031294.376,22000000.00
BTCD,BitcoinDark,SHA-256,TRUE,PoW/PoS,1288862,22000000.00
IOC,IOCoin,X11,TRUE,PoW/PoS,17650913.97,22000000.00
EDRC,EDRCoin,SHA-256,TRUE,PoW/PoS,3669691.845,22000000.00
BRAIN,BrainCoin,X11,TRUE,PoW/PoS,,22000000.00
DSR,Desire,NeoScrypt,TRUE,PoW,,22000000.00
CRU,Curium,X11,TRUE,PoW,0,22000000.00
XMN,Motion,X16R,TRUE,PoW,8125865.021,22075700.00
WSC,WiserCoin,Scrypt,FALSE,PoW,,22105263.00
HEX,HexCoin,Scrypt,TRUE,PoW,1416663.066,22105263.00
BCI,Bitcoin Interest,Equihash,TRUE,PoW,0,22300000.00
YOVI,YobitVirtualCoin,SHA-256,TRUE,PoS,,22830000.00
VIA,ViaCoin,Scrypt,TRUE,PoW,23150892.17,23000000.00
PCOIN,Pioneer Coin,X11,TRUE,PoW,8478104.34,23000000.00
ITZ,Interzone,C11,TRUE,PoW,11916588.09,23000000.00
FLM,FOLM coin,PHI1612,FALSE,PoW,0,23001916.00
AMY,Amygws,Scrypt,TRUE,PoW,,23333333.00
ORO,OroCoin,Scrypt,TRUE,PoW,,23529412.00
GAIA,GAIA Platform,X11,TRUE,PoS,,24000000.00
SIB,SibCoin,X11GOST,TRUE,PoW,17263355,24000000.00
DKC,DarkKnightCoin,Scrypt,TRUE,PoW/PoS,,24000000.00
RUP,Rupee,Lyra2REv2,TRUE,PoS,24000000,24000000.00
CWIS,Crypto Wisdom Coin,Scrypt,FALSE,PoW,17630550.21,24000000.00
RCC,Reality Clash,Ethash,TRUE,PoW,24487944.1,24487944.00
NMB,Nimbus Coin,X15,TRUE,PoW/PoS,,25000000.00
BOLI,BolivarCoin,X11,TRUE,PoW,13654082.5,25000000.00
PIZZA,PizzaCoin,X11,TRUE,PoW,1377917,25000000.00
TAB,MollyCoin,Scrypt,TRUE,PoW/PoS,,25000000.00
MIS,MIScoin,X11,TRUE,PoW/PoS,,25000000.00
BIC,Bikercoins,CryptoNight,TRUE,PoW,9357088,25000000.00
NOO,Noocoin,PoS,TRUE,PoS,,25000000.00
HAZE,HazeCoin,Scrypt,TRUE,PoW,,25000000.00
POLIS,PolisPay,X11,TRUE,PoW,,25000000.00
TPAY,TokenPay,POS 3.0,TRUE,PoS,20445861.53,25000000.00
CRDNC,Credence Coin,SHA-256,FALSE,PoW/PoS,3427006,25000000.00
DGM,DigiMoney,X11,FALSE,PoW/PoS,3521630,25000000.00
PUSHI,Pushi,X11,TRUE,PoW/PoS,2167827.1,25000000.00
ADK,Aidos Kuneen,IMesh,TRUE,PoW,25000000,25000000.00
OYS,Oyster Platform,X11,FALSE,PoS,,25000000.00
AZART,Azart,X11,TRUE,PoW,5015881.373,25000000.00
TFC,The Freedom Coin,X11,TRUE,PoS,0,25000000.00
PKB,ParkByte,SHA-256,TRUE,PoW/PoS,0,25000000.00
LIT,Lithium,Blake,TRUE,PoW,15846721.25,25228800.00
CYG,Cygnus,X11,TRUE,PoW/PoS,,25885320.00
UTH,Uther,Dagger,TRUE,PoW,,25885320.00
HWC,HollyWoodCoin,Scrypt,TRUE,PoS,38706809.47,26000000.00
ELE,Elementrem,Ethash,TRUE,PoW,26205539,26205539.00
ORE,Galactrum,Lyra2REv2,TRUE,PoW/PoS,,26280000.00
INFX,Infinex,Lyra2RE,TRUE,PoW,5097689.711,26280000.00
EGC,EverGreenCoin,X15,TRUE,PoW/PoS,13530556.42,26298000.00
REC,Regalcoin,X11,TRUE,PoW/PoS,7262402.043,27000000.00
VIVO,VIVO Coin,NeoScrypt,TRUE,PoW,4165967.575,27000000.00
BCO*,BridgeCoin,Scrypt,FALSE,PoW,0,27000000.00
CLR,CopperLark,SHA-256,TRUE,PoW,,27200000.00
BTMK,BitMark,Scrypt,TRUE,PoW,0,27580000.00
LOG,Wood Coin,Skein,TRUE,PoW,,27625814.00
BWK,Bulwark,NIST5,TRUE,PoS,13247178.88,27716121.00
BCCOIN,BitConnect Coin,Scrypt,TRUE,PoW/PoS,11080722.38,28000000.00
PCM,Procom,Scrypt,TRUE,PoW,,28000000.00
HBC,HomeBlockCoin,X11,FALSE,PoW/PoS,0,28000000.00
ARGUS,ArgusCoin,Scrypt,TRUE,PoW/PoS,1148324,28600000.00
ZEST,ZestCoin,Quark,TRUE,PoW,0,29300000.00
CRAIG,CraigsCoin,X11,TRUE,PoS,,30000000.00
PYC,PayCoin,Scrypt,TRUE,PoW/PoS,,30000000.00
SOIL,SoilCoin,Dagger,TRUE,PoW,5702048,30000000.00
SH,Shilling,Scrypt,TRUE,PoW,11119200,30000000.00
INSANE,InsaneCoin,X11,TRUE,PoW/PoS,18342813,30000000.00
CQST,ConquestCoin,X13,TRUE,PoW/PoS,,30000000.00
PHR,Phreak,PoS,TRUE,PoS,11390225.97,30000000.00
CHAN,ChanCoin,Cloverhash,TRUE,PoW,18407259.09,30000000.00
BRIT,BritCoin,X13,TRUE,PoW/PoS,21268092,30000000.00
MBC,My Big Coin,Scrypt,TRUE,PoW and PoS,9399342.528,30000000.00
ABJ,Abjcoin,Scrypt,TRUE,PoW/PoS,9880502.372,30000000.00
PAR,Parlay,Scrypt,FALSE,PoS,3783270,30000000.00
ESBC,ESBC,Quark,TRUE,PoS,,30000000.00
INSN,Insane Coin,X11,TRUE,PoW/PoS,23775960.32,30000000.00
TAGR,Think And Get Rich Coin,X15,TRUE,PoW/PoS,,30700000.00
BTH,Bithereum,Equihash,TRUE,PoW,25150787.5,30886000.00
CBS,Cerberus,NeoScrypt,TRUE,PoW,0,31500000.00
GBX,GoByte,NeoScrypt,TRUE,PoW,5832306.875,31800000.00
BET,BetaCoin,SHA-256,TRUE,PoW,0,32000000.00
EMD,Emerald,Scrypt,TRUE,PoW,19496786.31,32000000.00
GOA,GoaCoin,NeoScrypt,FALSE,PoW,3982139.246,32000000.00
SERA,Seraph,PHI1612,FALSE,PoW/PoS,1360250,32000000.00
EXCC,ExchangeCoin,Equihash,FALSE,PoW,0,32000000.00
SCRIBE,Scribe Network,Lyra2REv2,FALSE,PoW,6040583.73,32700000.00
CYC,ConSpiracy Coin ,X11,TRUE,PoW,0,33000000.00
MARSC,MarsCoin,X11,FALSE,PoW,,33000000.00
QSLV,Quicksilver coin,X11,TRUE,PoW,0,33000000.00
MARS,MarsCoin ,X11,TRUE,PoW,32221574.82,33000000.00
HEDGE,Hedgecoin,X13,TRUE,PoW,,33000000.00
MDC,MedicCoin,Scrypt,TRUE,PoW/PoS,,33000000.00
BCF,BitcoinFast,Scrypt,TRUE,PoW/PoS,20244023.64,33000000.00
LIR,Let it Ride,POS 3.0,TRUE,PoS,38589808.67,33500000.00
SCRPT,ScryptCoin,Scrypt,TRUE,PoW,,34181818.00
RNS,RenosCoin,Scrypt,TRUE,PoS,36050365,34426423.00
MAC,MachineCoin,Time Travel,TRUE,PoW,,35000000.00
CPN,CompuCoin,Scrypt,TRUE,PoW,,35000000.00
PLAN,Plancoin,Scrypt,TRUE,PoW/PoS,,35000000.00
VTL,Vertical,Lyra2Z,TRUE,PoW,,35000000.00
BENJI,BenjiRolls,Scrypt,TRUE,PoW,20276099.15,35520400.00
ORLY,OrlyCoin,X15,TRUE,PoW/PoS,0,36000000.00
SAFE,SafeCoin,Zhash,TRUE,PoW/PoS,0,36000000.00
COC,Community Coin,SHA-256,TRUE,PoW,,36129032.00
AOP,Averopay,Tribus,FALSE,PoW/PoS,1859475.61,36500000.00
TAJ,TajCoin,Blake2S,TRUE,PoW/PoS,12184195.93,36900000.00
DIT,Ditcoin,CryptoNight,TRUE,PoW,,37000000.00
ASTR,Astral,X13,TRUE,PoW/PoS,,37875500.00
DACH,DACH Coin,Quark,FALSE,PoS,14303114.67,38000000.00
PLNC,PLNCoin,Scrypt,TRUE,PoW/PoS,17089600,38540000.00
TODAY,TodayCoin,Scrypt,TRUE,PoW,,39200000.00
GCC,GuccioneCoin,Scrypt,TRUE,PoW,,39760000.00
CFC,CoffeeCoin,PoS,TRUE,PoS,148716816,39999898.00
SWING,SwingCoin,SHA-256,TRUE,PoW/PoS,4377081.61,40000000.00
CHOOF,ChoofCoin,Scrypt,TRUE,PoW/PoS,,40000000.00
EA,EagleCoin,SHA-256,TRUE,PoW,,40000000.00
XGR,GoldReserve,X11,TRUE,PoW/PoS,17171382,40000000.00
FLIP,BitFlip,Scrypt,TRUE,PoW,12446100,40000000.00
PUNK,SteamPunk,PoS,FALSE,PoS,,40000000.00
HUC,HunterCoin,Multiple,TRUE,PoW,0,42000000.00
MEC,MegaCoin,Scrypt,TRUE,PoW,38151999.99,42000000.00
TRC,TerraCoin,SHA-256,TRUE,PoW,22935396,42000000.00
BHIRE,BitHIRE,Scrypt,FALSE,PoS,,42000000.00
BLRY,BillaryCoin,Scrypt,TRUE,PoW/PoS,8998743.241,42000000.00
ANTI,Anti Bitcoin,SHA-256,TRUE,PoW,0,42000000.00
XNX,XanaxCoin,Scrypt,TRUE,PoW,,42000000.00
ARCO,AquariusCoin,Scrypt,TRUE,PoW/PoS,2449577.415,42000000.00
APT,Aptcoin,Scrypt-n,TRUE,PoW,,42000000.00
AQUA,Aquachain,Argon2,TRUE,PoW,0,42000000.00
CRW,Crown Coin,SHA-256,TRUE,PoW,22986929.09,42000000.00
STAX,Staxcoin,Scrypt,TRUE,PoW/PoS,,43500000.00
XT3,Xt3ch,Scrypt,TRUE,PoS,7630000.015,44000000.00
IBANK,iBankCoin,Scrypt,TRUE,PoW/PoS,4526324,44333333.00
FGZ,Free Game Zone,Scrypt,TRUE,PoW,,44775520.00
XJO,JouleCoin,SHA-256,TRUE,PoW,39195739.36,45000000.00
INN,Innova,NeoScrypt,TRUE,PoW,6375259.04,45000000.00
PROTON,Proton,X16R,TRUE,PoS,4403800,45000000.00
ZND,Zenad,Quark,TRUE,POS / MN,0,46000000.00
TGC,TigerCoin,SHA-256,TRUE,PoW,43536800,47011968.00
NIC,NewInvestCoin,PoS,TRUE,PoS,,47090909.00
CAP,BottleCaps,Scrypt,TRUE,PoW/PoS,,47433600.00
CASH,CashCoin,Scrypt,TRUE,PoW/PoS,0,47433600.00
DGC,Digitalcoin ,Scrypt,TRUE,PoW,33442988.34,48166000.00
CXT,Coinonat,NIST5,TRUE,PoW,10123200,48252000.00
XCXT,CoinonatX,Scrypt,TRUE,PoW/PoS,19539588,48252000.00
CRAFT,Craftcoin,Scrypt,TRUE,PoW/PoS,,49411760.00
WOLF,Insanity Coin,X11,TRUE,PoW,,50000000.00
NRB,NoirBits,SHA-256,TRUE,PoW,0,50000000.00
SPA,SpainCoin,Scrypt-n,TRUE,PoW,0,50000000.00
XXX,XXXCoin,Scrypt,TRUE,PoW/PoS,0,50000000.00
CON,Paycon,X13,TRUE,PoW/PoS,23042604,50000000.00
LGBTQ,LGBTQoin,X11,TRUE,PoW,,50000000.00
GB,GoldBlocks,X11,TRUE,PoW/PoS,15563873,50000000.00
OLYMP,OlympCoin,X11,TRUE,PoW/PoS,,50000000.00
FAME,FameCoin,QuBit,TRUE,PoW/PoS,,50000000.00
FRE,FreeCoin,PoS,TRUE,PoS,50000000,50000000.00
DGMS,Digigems,Scrypt,TRUE,PoW,,50000000.00
XVE,The Vegan Initiative,PoS,TRUE,PoS,,50000000.00
CSTL,Castle,Quark,TRUE,DPoS,0,50000000.00
PNX,PhantomX,X11,TRUE,PoW/PoS,45174214.11,50000000.00
ACCO,Accolade,Scrypt,FALSE,PoW/PoS,5573908,50000000.00
XBP,Black Pearl Coin,X13,TRUE,PoW/PoS,,50000000.00
SGL,Sigil,NeoScrypt,FALSE,PoW,0,50000000.00
BSX,Bitspace,NIST5,TRUE,PoW/PoS,13787854.63,50000000.00
MNB,MoneyBag,X11,FALSE,PoS,,50000000.00
BIM,BitminerCoin,CryptoNight,FALSE,PoW,0,50000000.00
DACASH,DACash,X11,FALSE,PoW,26709236.76,50000000.00
EUNO,EUNO,X11,TRUE,PoW/PoS,30771125.98,50000000.00
BTXC,Bettex coin,XEVAN,TRUE,PoS,6787405.18,50000000.00
ARQ,ArQmA,CryptoNight-lite,TRUE,PoW,,50000000.00
WRLGC,World Gold Coin,SHA-256,FALSE,PoW,,51000000.00
SMC,SmartCoin,Scrypt,TRUE,PoW,25593737.14,51200000.00
OPES,Opes,Argon2,TRUE,PoW,,52000000.00
ABS,Absolute Coin,Lyra2REv2,TRUE,PoW/PoS,13332617.94,52500000.00
TIC,TrueInvestmentCoin,Scrypt,TRUE,PoW/PoS,,53200000.00
ACP,Anarchists Prime,SHA-256,TRUE,PoW,14747200,53760000.00
XLC,LeviarCoin,CryptoNight,TRUE,PoW,14161803,54000000.00
HERB,HerbCoin,Quark,TRUE,PoW/PoS,35312185.74,54000000.00
BITS,BitstarCoin,Scrypt,TRUE,PoW/PoS,20576532,54256119.00
ZBC,Zilbercoin,Scrypt,TRUE,PoS,2922613.964,55000000.00
ARE,ARENON,X11,TRUE,PoS,19269509.94,55000000.00
ALQO,Alqo,Quark,FALSE,PoW/PoS,65269530.1,57879300.00
MRY,MurrayCoin,Scrypt,TRUE,PoW,,58000000.00
SMSR,Samsara Coin,QuBit,TRUE,PoW/PoS,,60000000.00
EGO,EGOcoin,PoS,TRUE,PoS,,60000000.00
ENT,Eternity,X11,TRUE,PoW/PoS,6069482.077,60000000.00
BIOB,BioBar,SHA-256D,TRUE,PoW/PoS,,60000000.00
ARC,ArcticCoin,X11,TRUE,PoW,26042364.37,60000000.00
LUX,LUXCoin,PHI1612,TRUE,PoW/PoS,8305775.318,60000000.00
BTW,BitWhite,DPoS,TRUE,DPoS,,60000000.00
ELP,Ellerium,XEVAN,TRUE,PoW/PoS,419275.38,60000000.00
ROE,Rover Coin,X11,TRUE,PoW/PoS,,60000000.00
FSC,FriendshipCoin,NeoScrypt,TRUE,PoW/PoS,1120385.005,60168145.00
STCN,Stakecoin,PoS,TRUE,PoS,4000000,61599965.00
REL,Reliance,X11,FALSE,PoS,7256580,62000000.00
ARG,Argentum,Scrypt,TRUE,PoW,12205795.44,64000000.00
IRL,IrishCoin,Scrypt,TRUE,PoW,45483049.34,64000000.00
AGM,Argoneum,PHI1612,FALSE,PoW,13969583.38,64000000.00
BLAST,BLAST,SHA-256,TRUE,PoW,52293836.63,64000000.00
CTO,Crypto,Lyra2RE,TRUE,PoW,13742738,65789100.00
UNF,Unfed Coin,Scrypt,TRUE,PoW,,67000000.00
NTRN,Neutron,SHA-256,TRUE,PoW/PoS,39121694,68000000.00
LIZ,Lizus Payment,Skein,FALSE,PoW/PoS,2985971,69000000.00
GLC,GlobalCoin,Scrypt,TRUE,PoW,65672720.47,70000000.00
OMGC,OmiseGO Classic,Scrypt,FALSE,PoW/PoS,49933217.75,70000000.00
BTL,Bitrolium,Equihash,TRUE,PoW,71355477,70000000.00
MBLC,Mont Blanc,Scrypt,TRUE,PoS,0,70000000.00
PARA,ParanoiaCoin,Scrypt,TRUE,PoW,,72000000.00
EQT,EquiTrader,Scrypt,TRUE,PoW,13673406.43,72000000.00
BASHC,BashCoin,Skein,FALSE,PoW/PoS,11661844.47,72000000.00
GLD,GoldCoin,Scrypt,TRUE,PoW,41658648,72245700.00
XPO,Opair,PoS,TRUE,PoS,74033806.79,74000000.00
CHESS,ChessCoin,Scrypt,TRUE,PoW/PoS,0,74666667.00
ELC,Elacoin,Scrypt,TRUE,PoW,0,75000000.00
XRA,Ratecoin,X11,TRUE,PoW/PoS,134554941.2,75000000.00
XPOKE,PokeChain,X13,TRUE,PoS,,75000000.00
SOCC,SocialCoin,Scrypt,TRUE,PoW,5167775,75000000.00
RUPX,Rupaya,Quark,TRUE,PoS,0,75000000.00
XSN,Stakenet,X11,TRUE,TPoS,75590369,76500000.00
CHI,XAYA,NeoScrypt,TRUE,PoW,,77303932.00
NXS,Nexus,SHA3,TRUE,PoW/nPoS,63657220,78000000.00
LTCR,LiteCreed,QuBit,TRUE,PoW/PoS,30227750,78835200.00
NAN,NanoToken,Scrypt,TRUE,PoW,,80000000.00
UNB,UnbreakableCoin,SHA-256,TRUE,PoW,2278150,80000000.00
WINK,Wink,PoS,TRUE,PoS,,80000000.00
NZL,Zealium,PoS,TRUE,PoS,11075254.09,80000000.00
AUK,Aukcecoin,Scrypt,TRUE,PoW/PoS,,80000000.00
MIODIO,MIODIOCOIN,Scrypt,TRUE,PoW,,80000000.00
ERR,ErrorCoin,Scrypt,TRUE,PoW,,81000000.00
MBIT,Mbitbooks,Scrypt,TRUE,PoW,,81000000.00
2BACCO,2BACCO Coin,Scrypt,TRUE,PoW/PoS,,81454545.00
HODL,HOdlcoin,1GB AES Pattern Search,TRUE,PoW,11448949,81962100.00
LTCD,LitecoinDark,Scrypt,TRUE,PoW,0,82003200.00
TRVC,Trivechain,X16R,TRUE,PoW/PoS,36923120.62,82546564.00
LTC,Litecoin,Scrypt,TRUE,PoW,63039243.3,84000000.00
RIC,Riecoin,Groestl,TRUE,PoW,49548585.14,84000000.00
EZC,EZCoin,Scrypt,TRUE,PoW,,84000000.00
LTCX,LitecoinX,X11,TRUE,PoW,,84000000.00
VTC,Vertcoin,Lyra2REv2,TRUE,PoW,51173723.82,84000000.00
GMC,Gridmaster,Scrypt,TRUE,PoW,0,84000000.00
GAME,Gamecredits,Scrypt,TRUE,PoW,69836100,84000000.00
ADZ,Adzcoin,X11,TRUE,PoW,45110324,84000000.00
ADNT,Aiden,ScryptOG,FALSE,PoW,84000000,84000000.00
ANTC,AntiLitecoin,Scrypt,FALSE,PoW,,84000000.00
KRONE,Kronecoin,Scrypt,TRUE,PoW,17453749.4,84000000.00
EMAR,EmaratCoin,Scrypt,TRUE,PoW/PoS,21599339.67,84000000.00
ACM,Actinium,Lyra2Z,TRUE,PoW,13634850,84000000.00
LTZ,Litecoinz,Equihash,TRUE,PoW,,84000000.00
NSD,Nasdacoin,Scrypt,TRUE,PoW/PoS,20546528.21,84000000.00
GMX,Goldmaxcoin,Scrypt,TRUE,PoW,,84078950.00
XSG,Snowgem,Equihash,TRUE,PoW,0,84096000.00
HNCN,Huncoin,X13,FALSE,PoW,,86400000.00
GBRC,GBR Coin,Scrypt,TRUE,PoW,0,87500000.00
BQC,BQCoin,Scrypt,TRUE,PoW,,88000000.00
DEV,Deviant Coin,PoS,TRUE,PoS,21876586.85,88000000.00
RYO,Ryo,Cryptonight-GPU,TRUE,PoW,4890897,88188888.00
SUMO,Sumokoin,CryptoNight,TRUE,PoW,8946653,88888888.00
SPM,Supreme,Scrypt,TRUE,PoW/PoS,,88900000.00
VIP,VIP Tokens,NIST5,TRUE,PoW/PoS,83450403,90000000.00
CTC,CarterCoin,Scrypt,TRUE,PoW/PoS,43165500,90000000.00
FIT,Fitcoin,X11,TRUE,PoW/PoS,,90000000.00
DON,DonationCoin,Scrypt,TRUE,PoW,,90000000.00
DKD,Dekado,X15,TRUE,PoS,30284196.37,90000000.00
DPAY,DelightPay,X13,TRUE,PoW/PoS,,90400000.00
ODN,Obsidian,SHA-512,TRUE,PoS,25000000,91388946.00
VNTY,VENOTY,Scrypt,FALSE,PoW,,94000000.00
PXC,PhoenixCoin,Scrypt,TRUE,PoW/PoS,73959274.63,98000000.00
AEC,AcesCoin,X11,TRUE,PoS,,98000000.00
EDUC,EducoinV,Scrypt,TRUE,PoW/PoS,,99000000.00
LK7,Lucky7Coin,Scrypt,TRUE,PoW/PoS,,99792000.00
QTL,Quatloo,Scrypt,TRUE,PoW,7357794.793,100000000.00
BUK,CryptoBuk,Scrypt,TRUE,PoW/PoS,,100000000.00
CMC,CosmosCoin,Scrypt,TRUE,PoW/PoS,,100000000.00
COOL,CoolCoin,Scrypt,TRUE,PoS,0,100000000.00
FC2,Fuel2Coin,X11,TRUE,PoS,0,100000000.00
MAX,MaxCoin,SHA3,TRUE,PoW/PoS,61445805,100000000.00
SPOTS,Spots,Scrypt,TRUE,PoW,,100000000.00
TES,TeslaCoin,Multiple,TRUE,PoS,80260463.73,100000000.00
UTC,UltraCoin,Scrypt,TRUE,PoW/PoS,50235211.14,100000000.00
TEK,TekCoin,SHA-256,TRUE,PoW/PoS,,100000000.00
DIGS,Diggits,Scrypt,TRUE,PoS,100000000,100000000.00
KATZ,KATZcoin,SHA-256D,TRUE,PoW/PoS,,100000000.00
BM,BitMoon,X13,TRUE,PoS,,100000000.00
FRWC,Frankywillcoin,Scrypt,TRUE,PoW/PoS,100000000,100000000.00
WAY,WayCoin,X11,TRUE,PoS,0,100000000.00
RUBIT,Rublebit,Scrypt,TRUE,PoW,,100000000.00
GNJ,GanjaCoin V2,X14,TRUE,PoW/PoS,100000000,100000000.00
CSH,CashOut,SHA-256,TRUE,PoW,0,100000000.00
SHORTY,ShortyCoin,PoS,TRUE,PoS,,100000000.00
HZT,HazMatCoin,Scrypt,TRUE,PoW/PoS,,100000000.00
ECAD,Canada eCoin,Scrypt,TRUE,PoW,,100000000.00
LENIN,LeninCoin,SHA-256D,TRUE,PoW,,100000000.00
RIDE,Ride My Car,PoS,TRUE,PoS,0,100000000.00
ERY,Eryllium,X11,TRUE,PoW/PoS,0,100000000.00
RATIO,Ratio,PoS,TRUE,PoS,,100000000.00
ACES,AcesCoin,X13,TRUE,PoS,,100000000.00
CDN,Canada eCoin,Scrypt,TRUE,PoW,99843408.32,100000000.00
XVP,VirtacoinPlus,X11,TRUE,PoW/PoS,13162749.09,100000000.00
CJC,CryptoJournal,PoS,TRUE,PoS,,100000000.00
HPC,HappyCoin,X11,TRUE,PoW/PoS,21521322.01,100000000.00
IEC,IvugeoEvolutionCoin,Scrypt,TRUE,PoW,,100000000.00
QTUM,QTUM,POS 3.0,TRUE,PoS,100000000,100000000.00
DP,DigitalPrice,X11,TRUE,PoW,35138975,100000000.00
BTPL,Bitcoin Planet,Skein,TRUE,PoW/PoS,6804362,100000000.00
CRM,Cream,Skein,TRUE,PoW/PoS,47331802.48,100000000.00
ACC,AdCoin,Scrypt,TRUE,PoW,32646731.06,100000000.00
LINX,Linx,Scrypt,TRUE,PoW,33716526,100000000.00
MAY,Theresa May Coin,SHA-256,TRUE,PoW/PoS,92050800,100000000.00
EBST,eBoost,Scrypt,TRUE,PoW,99990001.49,100000000.00
BOXY,BoxyCoin,Scrypt,FALSE,PoW,5761512.81,100000000.00
TRF,Travelflex,Dagger,TRUE,PoW,107325266,100000000.00
DIN,Dinero,NeoScrypt,TRUE,PoW,0,100000000.00
AKA,Akroma,Ethash,TRUE,PoW,,100000000.00
PHC,Profit Hunters Coin,Scrypt,TRUE,PoW/PoS,0,100000000.00
SEM,Semux,Semux BFT consensus,TRUE,DPoS,1231147,100000000.00
FTO,FuturoCoin,X11,TRUE,PoW,31801461.19,100000000.00
BEN,BitCOEN,SHA-256,TRUE,Limited Confidence Proof-of-Activity ,,100000000.00
MRN,Mercoin,Scrypt,FALSE,PoW/PoS,25330252.32,100000000.00
VIG,TheVig,SHA-256D,TRUE,PoW/PoS,33238183.72,100000000.00
XTNC,XtendCash,Wild Keccak,FALSE,PoW,,100000000.00
VITAE,Vitae,Quark,TRUE,PoS,66053877.63,100000000.00
MUSD,MUSDcoin,Scrypt,TRUE,PoW/PoS,0,100000000.00
PAXEX,PAXEX,X11,TRUE,PoS,4504639,100000000.00
XCG,Xchange,X16R,TRUE,PoW,9753753.615,100000000.00
B2G,Bitcoiin2Gen,Ethash,TRUE,PoW,0,100000000.00
LYTX,LYTIX,QuarkTX,TRUE,PoW/PoS,,100000000.00
SLC,SLICE,QuBit,TRUE,PoW,12925790.42,100000000.00
